Word,Count,POS,Definition
U+1F9D9 U+200D U+2642 U+FE0F,356,emoji number: 356,man mage
U+1F9D9 U+200D U+2640 U+FE0F,357,emoji number: 357,woman mage
U+1F9DA,358,emoji number: 358,fairy
U+1F9DA U+200D U+2642 U+FE0F,359,emoji number: 359,man fairy
U+1F9DA U+200D U+2640 U+FE0F,360,emoji number: 360,woman fairy
U+1F9DB,361,emoji number: 361,vampire
U+1F9DB U+200D U+2642 U+FE0F,362,emoji number: 362,man vampire
U+1F9DB U+200D U+2640 U+FE0F,363,emoji number: 363,woman vampire
U+1F9DC,364,emoji number: 364,merperson
U+1F9DC U+200D U+2642 U+FE0F,365,emoji number: 365,merman
U+1F9DC U+200D U+2640 U+FE0F,366,emoji number: 366,mermaid
U+1F9DD,367,emoji number: 367,elf
U+1F9DD U+200D U+2642 U+FE0F,368,emoji number: 368,man elf
U+1F9DD U+200D U+2640 U+FE0F,369,emoji number: 369,woman elf
U+1F9DE,370,emoji number: 370,genie
U+1F9DE U+200D U+2642 U+FE0F,371,emoji number: 371,man genie
U+1F9DE U+200D U+2640 U+FE0F,372,emoji number: 372,woman genie
U+1F9DF,373,emoji number: 373,zombie
U+1F9DF U+200D U+2642 U+FE0F,374,emoji number: 374,man zombie
U+1F9DF U+200D U+2640 U+FE0F,375,emoji number: 375,woman zombie
U+1F486,376,emoji number: 376,person getting massage
U+1F486 U+200D U+2642 U+FE0F,377,emoji number: 377,man getting massage
U+1F486 U+200D U+2640 U+FE0F,378,emoji number: 378,woman getting massage
U+1F487,379,emoji number: 379,person getting haircut
U+1F487 U+200D U+2642 U+FE0F,380,emoji number: 380,man getting haircut
U+1F487 U+200D U+2640 U+FE0F,381,emoji number: 381,woman getting haircut
U+1F6B6,382,emoji number: 382,person walking
U+1F6B6 U+200D U+2642 U+FE0F,383,emoji number: 383,man walking
U+1F6B6 U+200D U+2640 U+FE0F,384,emoji number: 384,woman walking
U+1F9CD,385,emoji number: 385,person standing
U+1F9CD U+200D U+2642 U+FE0F,386,emoji number: 386,man standing
U+1F9CD U+200D U+2640 U+FE0F,387,emoji number: 387,woman standing
U+1F9CE,388,emoji number: 388,person kneeling
U+1F9CE U+200D U+2642 U+FE0F,389,emoji number: 389,man kneeling
U+1F9CE U+200D U+2640 U+FE0F,390,emoji number: 390,woman kneeling
U+1F9D1 U+200D U+1F9AF,391,emoji number: 391,person with white cane
U+1F468 U+200D U+1F9AF,392,emoji number: 392,man with white cane
U+1F469 U+200D U+1F9AF,393,emoji number: 393,woman with white cane
U+1F9D1 U+200D U+1F9BC,394,emoji number: 394,person in motorized wheelchair
U+1F468 U+200D U+1F9BC,395,emoji number: 395,man in motorized wheelchair
U+1F469 U+200D U+1F9BC,396,emoji number: 396,woman in motorized wheelchair
U+1F9D1 U+200D U+1F9BD,397,emoji number: 397,person in manual wheelchair
U+1F468 U+200D U+1F9BD,398,emoji number: 398,man in manual wheelchair
U+1F469 U+200D U+1F9BD,399,emoji number: 399,woman in manual wheelchair
U+1F3C3,400,emoji number: 400,person running
U+1F3C3 U+200D U+2642 U+FE0F,401,emoji number: 401,man running
U+1F3C3 U+200D U+2640 U+FE0F,402,emoji number: 402,woman running
U+1F483,403,emoji number: 403,woman dancing
U+1F57A,404,emoji number: 404,man dancing
U+1F574,405,emoji number: 405,person in suit levitating
U+1F46F,406,emoji number: 406,people with bunny ears
U+1F46F U+200D U+2642 U+FE0F,407,emoji number: 407,men with bunny ears
U+1F46F U+200D U+2640 U+FE0F,408,emoji number: 408,women with bunny ears
U+1F9D6,409,emoji number: 409,person in steamy room
U+1F9D6 U+200D U+2642 U+FE0F,410,emoji number: 410,man in steamy room
U+1F9D6 U+200D U+2640 U+FE0F,411,emoji number: 411,woman in steamy room
U+1F9D7,412,emoji number: 412,person climbing
U+1F9D7 U+200D U+2642 U+FE0F,413,emoji number: 413,man climbing
U+1F9D7 U+200D U+2640 U+FE0F,414,emoji number: 414,woman climbing
U+1F93A,415,emoji number: 415,person fencing
U+1F3C7,416,emoji number: 416,horse racing
U+26F7,417,emoji number: 417,skier
U+1F3C2,418,emoji number: 418,snowboarder
U+1F3CC,419,emoji number: 419,person golfing
U+1F3CC U+FE0F U+200D U+2642 U+FE0F,420,emoji number: 420,man golfing
U+1F3CC U+FE0F U+200D U+2640 U+FE0F,421,emoji number: 421,woman golfing
U+1F3C4,422,emoji number: 422,person surfing
U+1F3C4 U+200D U+2642 U+FE0F,423,emoji number: 423,man surfing
U+1F3C4 U+200D U+2640 U+FE0F,424,emoji number: 424,woman surfing
U+1F6A3,425,emoji number: 425,person rowing boat
U+1F6A3 U+200D U+2642 U+FE0F,426,emoji number: 426,man rowing boat
U+1F6A3 U+200D U+2640 U+FE0F,427,emoji number: 427,woman rowing boat
U+1F3CA,428,emoji number: 428,person swimming
U+1F3CA U+200D U+2642 U+FE0F,429,emoji number: 429,man swimming
U+1F3CA U+200D U+2640 U+FE0F,430,emoji number: 430,woman swimming
U+26F9,431,emoji number: 431,person bouncing ball
U+26F9 U+FE0F U+200D U+2642 U+FE0F,432,emoji number: 432,man bouncing ball
U+26F9 U+FE0F U+200D U+2640 U+FE0F,433,emoji number: 433,woman bouncing ball
U+1F3CB,434,emoji number: 434,person lifting weights
U+1F3CB U+FE0F U+200D U+2642 U+FE0F,435,emoji number: 435,man lifting weights
U+1F3CB U+FE0F U+200D U+2640 U+FE0F,436,emoji number: 436,woman lifting weights
U+1F6B4,437,emoji number: 437,person biking
U+1F6B4 U+200D U+2642 U+FE0F,438,emoji number: 438,man biking
U+1F6B4 U+200D U+2640 U+FE0F,439,emoji number: 439,woman biking
U+1F6B5,440,emoji number: 440,person mountain biking
U+1F6B5 U+200D U+2642 U+FE0F,441,emoji number: 441,man mountain biking
U+1F6B5 U+200D U+2640 U+FE0F,442,emoji number: 442,woman mountain biking
U+1F938,443,emoji number: 443,person cartwheeling
U+1F938 U+200D U+2642 U+FE0F,444,emoji number: 444,man cartwheeling
U+1F938 U+200D U+2640 U+FE0F,445,emoji number: 445,woman cartwheeling
U+1F93C,446,emoji number: 446,people wrestling
U+1F93C U+200D U+2642 U+FE0F,447,emoji number: 447,men wrestling
U+1F93C U+200D U+2640 U+FE0F,448,emoji number: 448,women wrestling
U+1F93D,449,emoji number: 449,person playing water polo
U+1F93D U+200D U+2642 U+FE0F,450,emoji number: 450,man playing water polo
U+1F93D U+200D U+2640 U+FE0F,451,emoji number: 451,woman playing water polo
U+1F93E,452,emoji number: 452,person playing handball
U+1F93E U+200D U+2642 U+FE0F,453,emoji number: 453,man playing handball
U+1F93E U+200D U+2640 U+FE0F,454,emoji number: 454,woman playing handball
U+1F939,455,emoji number: 455,person juggling
U+1F939 U+200D U+2642 U+FE0F,456,emoji number: 456,man juggling
U+1F939 U+200D U+2640 U+FE0F,457,emoji number: 457,woman juggling
U+1F9D8,458,emoji number: 458,person in lotus position
U+1F9D8 U+200D U+2642 U+FE0F,459,emoji number: 459,man in lotus position
U+1F9D8 U+200D U+2640 U+FE0F,460,emoji number: 460,woman in lotus position
U+1F6C0,461,emoji number: 461,person taking bath
U+1F6CC,462,emoji number: 462,person in bed
U+1F9D1 U+200D U+1F91D U+200D U+1F9D1,463,emoji number: 463,people holding hands
U+1F46D,464,emoji number: 464,women holding hands
U+1F46B,465,emoji number: 465,woman and man holding hands
U+1F46C,466,emoji number: 466,men holding hands
U+1F48F,467,emoji number: 467,kiss
U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468,468,emoji number: 468,"kiss: woman, man"
U+1F468 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468,469,emoji number: 469,"kiss: man, man"
U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469,470,emoji number: 470,"kiss: woman, woman"
U+1F491,471,emoji number: 471,couple with heart
U+1F469 U+200D U+2764 U+FE0F U+200D U+1F468,472,emoji number: 472,"couple with heart: woman, man"
U+1F468 U+200D U+2764 U+FE0F U+200D U+1F468,473,emoji number: 473,"couple with heart: man, man"
U+1F469 U+200D U+2764 U+FE0F U+200D U+1F469,474,emoji number: 474,"couple with heart: woman, woman"
U+1F46A,475,emoji number: 475,family
U+1F468 U+200D U+1F469 U+200D U+1F466,476,emoji number: 476,"family: man, woman, boy"
U+1F468 U+200D U+1F469 U+200D U+1F467,477,emoji number: 477,"family: man, woman, girl"
U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466,478,emoji number: 478,"family: man, woman, girl, boy"
U+1F468 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466,479,emoji number: 479,"family: man, woman, boy, boy"
U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467,480,emoji number: 480,"family: man, woman, girl, girl"
