%-)|emoji.|user has been staring at a green screen for 15 hours straight
:el_salvador:|emoji.|regional indicator symbol letter s, regional indicator symbol letter v
:electric_plug:|emoji.|electric plug
:elephant:|emoji.|elephant
:email:|emoji.|envelope, variation selector-16
:end:|emoji.|end with leftwards arrow above
:envelope_with_arrow:|emoji.|envelope with downwards arrow above
:equatorial_guinea:|emoji.|regional indicator symbol letter g, regional indicator symbol letter q
:eritrea:|emoji.|regional indicator symbol letter e, regional indicator symbol letter r
:es:|emoji.|regional indicator symbol letter e, regional indicator symbol letter s
:estonia:|emoji.|regional indicator symbol letter e, regional indicator symbol letter e
:ethiopia:|emoji.|regional indicator symbol letter e, regional indicator symbol letter t
:eu:|emoji.|regional indicator symbol letter e, regional indicator symbol letter u
:euro:|emoji.|banknote with euro sign
:european_castle:|emoji.|european castle
:european_post_office:|emoji.|european post office
:evergreen_tree:|emoji.|evergreen tree
:exclamation:|emoji.|heavy exclamation mark symbol, variation selector-16
:expressionless:|emoji.|expressionless face
:eye:|emoji.|eye
:eye_speech_bubble:|emoji.|eye, zero width joiner, left speech bubble
:eyeglasses:|emoji.|eyeglasses
:eyes:|emoji.|eyes
:face_with_head_bandage:|emoji.|face with head-bandage
:face_with_thermometer:|emoji.|face with thermometer
:factory:|emoji.|factory
:falkland_islands:|emoji.|regional indicator symbol letter f, regional indicator symbol letter k
:fallen_leaf:|emoji.|fallen leaf
:family_man_boy:|emoji.|man, zero width joiner, boy
:family_man_boy_boy:|emoji.|man, zero width joiner, boy, zero width joiner, boy
:family_man_girl:|emoji.|man, zero width joiner, girl
:family_man_girl_boy:|emoji.|man, zero width joiner, girl, zero width joiner, boy
:family_man_girl_girl:|emoji.|man, zero width joiner, girl, zero width joiner, girl
:family_man_man_boy:|emoji.|man, zero width joiner, man, zero width joiner, boy
:family_man_man_boy_boy:|emoji.|man, zero width joiner, man, zero width joiner, boy, zero width joiner, boy
:family_man_man_girl:|emoji.|man, zero width joiner, man, zero width joiner, girl
:family_man_man_girl_boy:|emoji.|man, zero width joiner, man, zero width joiner, girl, zero width joiner, boy
:family_man_man_girl_girl:|emoji.|man, zero width joiner, man, zero width joiner, girl, zero width joiner, girl
:family_man_woman_boy:|emoji.|family
:family_man_woman_boy_boy:|emoji.|man, zero width joiner, woman, zero width joiner, boy, zero width joiner, boy
:family_man_woman_girl:|emoji.|man, zero width joiner, woman, zero width joiner, girl
:family_man_woman_girl_boy:|emoji.|man, zero width joiner, woman, zero width joiner, girl, zero width joiner, boy
:family_man_woman_girl_girl:|emoji.|man, zero width joiner, woman, zero width joiner, girl, zero width joiner, girl
:family_woman_boy:|emoji.|woman, zero width joiner, boy
:family_woman_boy_boy:|emoji.|woman, zero width joiner, boy, zero width joiner, boy
:family_woman_girl:|emoji.|woman, zero width joiner, girl
:family_woman_girl_boy:|emoji.|woman, zero width joiner, girl, zero width joiner, boy
:family_woman_girl_girl:|emoji.|woman, zero width joiner, girl, zero width joiner, girl
:family_woman_woman_boy:|emoji.|woman, zero width joiner, woman, zero width joiner, boy
:family_woman_woman_boy_boy:|emoji.|woman, zero width joiner, woman, zero width joiner, boy, zero width joiner, boy
:family_woman_woman_girl:|emoji.|woman, zero width joiner, woman, zero width joiner, girl
:family_woman_woman_girl_boy:|emoji.|woman, zero width joiner, woman, zero width joiner, girl, zero width joiner, boy
:family_woman_woman_girl_girl:|emoji.|woman, zero width joiner, woman, zero width joiner, girl, zero width joiner, girl
:faroe_islands:|emoji.|regional indicator symbol letter f, regional indicator symbol letter o
:fast_forward:|emoji.|black right-pointing double triangle
:fax:|emoji.|fax machine
:fearful:|emoji.|fearful face
:feet:|emoji.|paw prints
